,No.,Nama_Cafe_atau_Restoran,lokasi_restoran,jenis_masakan/minuman ,ulasan,sosial_media,nama_makanan,Kecamatan,Kabupaten,Cafe/restoran,Harga_Rata-rata,rating,Rentang_Harga_Rata-Rata,kecamatan,kabupaten,CR_Angka
41,42,"Nasi Uduk Ayam Penyet Cili, Pocut Baren","Jl. Pocut Baren (Ie Teh Kupi), Kuta Alam, Banda Aceh",Aneka nasi,enakkk bangettt,Na,Nasi Putih Ayam Penyet,Kuta Alam,Banda Aceh,restoran,22000,3.8,2,2,1,1
42,43,"Nasi Goreng Kampung BANG DIN & Mie Aceh Rex Peunayong, Sri Ratu","Jl. Sri Ratu Syafiatuddin No. 90 (dekat Hotel Medan) Kuta Alam, Banda Aceh","Minuman, Seafood, Aneka nasi","Makan jadi gembira. Rasa Kepiting Masuk ke dlm mie. Bumbu mie Aceh masuk ke dalam kepiting. Nasi goreng kampung dan seafood, wow.... makan jadi gembira",Na,Nasi Putih Keumamah + Telur Dadar/Mata Sapi,Kuta Alam,Banda Aceh,restoran,18000,4.4,2,2,1,1
43,44,"Martabak Pecenongan 78, Peunayong Banda Aceh","Jl. T Panglima Polem No. 159, Kuta Alam, Banda Aceh","Martabak, Sweets, Roti, Jajanan",enak kaya biasanya pesan .. tapi kali ini kuah martabak nya ga dikasih.. kelupaan kali ya..,Na,Martabak Black Forest Cokelat,Kuta Alam,Banda Aceh,cafe,90000,4.6,4,2,1,2
44,45,"Alikebab, Hajidimurtala","Jl. Hajidimurtala, Simpang 5, Kuta Alam, Banda Aceh","Cepat saji, Timur Tengah",Tetap jadi kebab terenak yang pernah aku makan!,@ali_kebab_aceh,Kebab Mini,Kuta Alam,Banda Aceh,cafe,18000,4.7,2,2,1,2
45,46,"Toke Salad N Cake, Kuta Alam","Jl. T Hasan Dek No. 175, Kuta Alam, Banda Aceh","Sweets, Jajanan, Minuman","Enakkkkk bgtttttttt, first time nyoba lgsg jatuh hati ",@toke_salad_n_cake,Salad Sayur,Kuta Alam,Banda Aceh,cafe,20000,4.3,2,2,1,2
46,47,"Sate Matang Cek Li, Syiah Kuala","Jl. Teungku Lamgugob, Syiah Kuala, Banda Aceh","Sate, Cepat saji, Aneka nasi","satenya kurang setusuk bg pesan 15, jadi 14 tusuk hihi",@sate_matang_cekli,Sate Matang 10 Tusuk,Syiah Kuala,Banda Aceh,restoran,33000,4.5,4,1,1,1
47,48,"Galang Burger, Kuta Alam Kampung Laksana",Jln Dharma Kampung Laksana Banda Aceh.,"Jajanan, Roti, Martabak",Na,Na,Burger Daging,Kuta Alam,Banda Aceh,cafe,14000,4.7,1,2,1,2
48,49,"Riski Kebab, Darussalam (Samping BreadBoy)",Darussalam,"Cepat saji, Roti, Timur Tengah",Na,Na,Burger Special,Syiah Kuala,Banda Aceh,cafe,23000,4.8,2,1,1,2
49,50,"ABI BURGER KEBAB, ROTI BAKAR, Teuku Nyak Arief","Jl. Teuku Nyak Arief, Syiah Kuala, Banda Aceh","Roti, Cepat saji, Jajanan","burgernya enak, tp sausnya trlalu byk jd klo makan agak belepotan. tapi tetap enak kok tpi packagingnya boleh ditingkatin lgi",Na,Roti Bakar Bandung Rasa Coklat Keju,Syiah Kuala,Banda Aceh,cafe,18750,4.6,2,1,1,2
50,51,"Linge Coffee Home Roasting, Kp. Laksana","Jl. Mesjid Alhuda No. 54, Kuta Alam, Banda Aceh","Cepat saji, Minuman, Kopi",paten.....kopinya the best,Na,Wine Coffee Cold Brew,Kuta Alam,Banda Aceh,cafe,35000,4.5,4,2,1,2
51,52,"Mie Pangsit Ayam Keriting Khas Medan, Kampung Laksana","Jl. Al-Huda No. 32B, Kuta Alam, Banda Aceh","Bakso & soto, Bakmie, Minuman",GoodJob rasa nya sesuai ekspektasi...mantaaap pull...,Na,Mie Kasar Ayam + Pangsit 2,Kuta Alam,Banda Aceh,cafe,19000,4.7,2,2,1,2
52,53,"Kuta Alam Roastery, Kuta Alam","Jl. Jambi, Kuta Alam, Banda Aceh","Minuman, Kopi",sanger press best banget,@kutaalamroaestery,ced Chocolate LAVA Latte,Kuta Alam,Banda Aceh,cafe,20000,4.8,2,2,1,2
53,54,"Soto Riza, Peunayong","Jl. Khairil Anwar No. 11a, Peunayang, Kuta Alam, Banda Aceh","Aneka nasi, Bakso & soto, Minuman","terima kasih banyak, makanannya enak",@soto.riza,Soto Daging,Kuta Alam,Banda Aceh,restoran,32000,4.6,4,2,1,1
54,55,"Mie Pangsit Ayam ETE, Teluk Betung","Jl. Teluk Betung 5, Kuta Alam, Kota Banda Aceh","Bakmie, Aneka nasi","enakkk bgttt, parrrah! pangsit rebusnya bener2 full daging beda sama pangsit2 lain, mienya kenyel, kuahnya si b aja tapi gk nyangka ada yg enak jg di Banda Aceh ",Na,Mie Pangsit Goreng,Kuta Alam,Banda Aceh,cafe,23750,4.8,3,2,1,2
55,56,"Ayam Geprek Istimewa, Pocut Baren","Jl. Pocut Baren No. 57B, Keuramat, Kuta Alam, Banda Aceh",Aneka nasi ,makanannya enak cmn kecil ayamnya...,Na,Ayam Geprek Istimewa Level 5 + Nasi,Kuta Alam,Banda Aceh,restoran,15000,4.2,1,2,1,1
56,0,"Bubur Ayam Jakarta Bintaro, T. Panglima Polem","Jl. T Panglima Polem (Depan Vihara), Kuta Alam, Banda Aceh","
Aneka nasi, Bakmie, Chinese","Buburnya Pas..porsi,rasa,kebersihan dan kemasan ok semua",Na,Bubur Ayam Jakarta,Kuta Alam,Banda Aceh,cafe,23000,4.6,2,2,1,2
57,58,"Rumoh Dimsum, Kaswari","Jl. Kaswari No.3, Kuta Alam, Banda Aceh","Chinese, Jajanan",selalu de best disini gak pernah ngecewain,@rumohdimsum,Dimsum Ayam (1/2 Box) frozen,Kuta Alam,Banda Aceh,cafe,47000,4.7,4,2,1,2
58,59,"Mie Pangsit Duta Bireuen, Lamnyong","Jl. T. Nyak Arief (Lamnyong), Lamgugob, Syiah Kuala, Banda Aceh (Di Samping JNT/ Diseberang Awak Awai 2)","
Bakmie, Minuman, Chinese",terimakasih. kurang banyak dehhh,@mie.pangsitdutabireuen,Mie Pangsit Kuah,Kuta Alam,Banda Aceh,cafe,17500,4.6,1,2,1,2
59,60,Olenka Cafe & dining,"Jl. teuku lamgugop No.31, Lamgugop, kec. Syiah Kuala, Kota Banda Aceh","Aneka nasi, Kopi, Barat","enaaaaak bgt.. minyaknya jg dipisah, love deh. kalo ga suka ya ga dipake.. tp aku makan semuanyaa ahaha makasi atas makannyaa",@olenkaCafe,Ice Coffee Zalinka,Syiah Kuala,Banda Aceh,cafe,27500,4.7,3,1,1,2
60,61,"Roti'O, Poma Aceh","Jl. Tengku Daud Beureuh No. 173, Bandar Baru, Kuta Alam, Banda Aceh",roti,Sangat sesuai dengan keinginan,Na,Kopdar 1 (Kopi'O Brown Sugar & Roti'O),Kuta Alam,Banda Aceh,cafe,30000,4.8,4,2,1,2
61,62,Station Coffee Premium Banda Aceh,"Desa Mibo, Kec. Banda Raya, Kota Banda Aceh, Aceh.","Seafood, Aneka nasi, Kopi",porsinya msh kekecilan untuk ukuran harga 25 rbu.maapkan cm saran yaa...,@stationcoffepremium,Avocado Coffee,Banda Raya,Banda Aceh,cafe,25000,4.8,3,3,1,2
62,63,"Nasi Gurih & Lontong Pagi Bu Ema, Kuta Alam","Jl. T Hamzah Bendahara (Disamping Hotel Diana), Kuta Alam, Banda Aceh",aneka nasi ,"Pedasnya ok. Dan aku suka, krn sesuai banget dg di cttn nya. Aku pesan di note, sambalnya pisah dari nasinya. Dan pesanan dtg sesuai permintaan, sambalnya bener2 dipisah, krn yg itu buat si kcl.",Na,Nasi Gurih Telur Dadar,Kuta Alam,Banda Aceh,restoran,15000,4.7,1,2,1,1
63,64,"D'COST, Lippo Plaza Aceh","Jl. T. Hasan Dek, Beurawe, Kec. Kuta Alam, Kota Banda Aceh, Aceh 23127","Seafood, Aneka nasi, Ayam & bebek",ini enak bgt. jatuh cinta sama buncis singaporenya. suka bgt.,@dcost.seafood,Nasi Capcay Seafood,Kuta Alam,Banda Aceh,restoran,32500,4.7,4,2,1,1
64,65,"Chatime x Cupbop, Lippo Plaza Aceh","Lippo Plaza, GF - 03, Jl. T Hasan Dek, Kuta Alam, Banda Aceh","Korea, Minuman, Kopi, Jajanan",tteokbokinya manteppp puolll,@chatimebandaaceh,Choco Mousse (Large),Kuta Alam,Banda Aceh,cafe,20000,4.8,2,2,1,2
65,66,"Mr. HOT, T. Iskandar","Jl. T. Iskandar No. 4 (Belakang Matahari), Kuta Alam, Banda Aceh","Aneka nasi, Ayam & bebek, Cepat saji",Langganan geprek terasi paling joss,@mr.hot_aceh,Indomie Ayam Geprek,Kuta Alam,Banda Aceh,restoran,28000,4.6,3,2,1,1
66,67,"Alex's Kitchen, Lamlagang","Jl. Sultan Malikul Saleh, Banda Raya, Banda Aceh","Aneka nasi, Jepang, Barat",Trmksh chef sehat dan sukses Selalu,@kitchenalexs,Mie Ayam Jamur,Banda Raya,Banda Aceh,restoran,32000,4.7,4,3,1,1
67,68,"Jiwa Toast, Plaza Aceh Mall","Plaza Aceh Mall, Jl. T. Hasan Dek, Beurawe, Kuta Alam, Banda Aceh","Minuman, Roti, Jajanan, Cepat saji, Kopi","Good, enak bangetlah pokok nya best",@jiwatoast.bnaplazaacehmall,Spicy Bulgogi,Kuta Alam,Banda Aceh,cafe,37000,4.4,4,2,1,2
68,69,"Jala Kebab, Sultan Malikul Saleh","Jl. Sultan Malikul Shaleh (Depan Stadion Harapan Bangsa), Banda Raya, Banda Aceh","Timur Tengah, Jajanan",udah pesan berkali - kali dan selalu lagi,@kebab_jala,Kebab Ayam Jumbo,Banda Raya,Banda Aceh,cafe,25000,4.7,3,3,1,2
69,70,"Urban Teahouse, Lamlagang","Jl. Sultan Malikus saleh no. 93, Lam Lagang, Kec. Banda Raya, Kota Banda Aceh, Aceh 23231",minuman ,top markotop brooooo,@urbanteahouse.id,Japanese Matcha,Banda Raya,Banda Aceh,cafe,17000,4.6,1,3,1,2
70,71,"Bubur Ayam Pasundan, Blang Padang","Jl. K Ibrahim, Meruxa, Banda Aceh",jajanan,"Bubur, siomay & batagor terbaik di BTJ. Yuk tingkatkan kualitas kemasan dengan tidak memakai styrofoam lagi atau berikan opsi seperti pakai box+biayanya. Saran saya bumbu kacang dipisah saja dari cabai agar bisa disesuaikan tingkat kepedasannya",@buburayampasundanspensix,Bubur Ayam Spesial Pasundan,Meuraxa,Banda Aceh,cafe,15000,4.7,1,4,1,2
71,72,"Sosis Telur (SOSTEL), Ulee Lheue","Jl. Pelabuhan Lama Ulee Lheue, Meuraxa, Banda Aceh",jajanan,Na,Na,Sosis Telur Balado,Meuraxa,Banda Aceh,cafe,8000,4.1,1,4,1,2
72,73,"Ayam Bakar KQ-5, Banda Aceh","Jl. Diponegoro Simpang 5, Kuta Alam, Banda Aceh",Ayam & bebek,yam lamongan wueenakk apa lagi klo makan di restonya lebih yamiii,Na,Naskot Ayam Lamongan,Kuta Alam,Banda Aceh,restoran,28000,4.8,3,2,1,1
73,74,"Quality Fried Chicken, Pocut Baren","Jl. Pocut Bare (Depan Dinas Kebersihan Kota Banda Aceh), Kuta Alam, Banda Aceh",Ayam & bebek,enak bngtttt. sausnya pedessss ayamnya gede. makaasii yaaa. syg bgt sm yg masak hehehe,@qualityfriedchickenid,Creative 1,Kuta Alam,Banda Aceh,restoran,33000,4.8,4,2,1,1
74,75,"Ketoprak Jakarta, Kp. Keuramat","Jl. Nuri No. 13, Kuta Alam, Banda Aceh",jajanan,"medok, enak dan murah",Na,"Telur,Tahu,Bumbu Kacang",Kuta Alam,Banda Aceh,cafe,15000,4.6,1,2,1,2
75,76,"Permata Hati Pastry Bakery and Cake, Meuraxa","Jl. Sultan Iskandar Muda No. 217, Meuraxa, Banda Aceh","Roti, Minuman, Kopi",Na,Na,Expresso Double,Meuraxa,Banda Aceh,cafe,10000,,1,4,1,2
76,77,Robinson Bakery,Jln. A.Yani No.31 Peunayong Banda Aceh,roti ,porsi udah ga sempurna,@robinson_bakery,Roti Tawar Besar,Kuta Alam,Banda Aceh,cafe,20000,4.6,2,2,1,2
77,78,CAFFEE LIMA,Jl. Politeknik Aceh Beurawe,"Minuman, Cepat saji, Roti",Na,Na,Lechy Yakult,Kuta Alam,Banda Aceh,cafe,20000,4.6,2,2,1,2
78,79,"Aroma Bakery and Cake Shop, Beurawe, Jl. T. Hasan Dek","Jl. T. Hasan Dek, Beurawe, Kec. Kuta Alam, Kota Banda Aceh, Aceh",roti,Na,@aromabakeryandcakeshop,Roti Sobek Coklat,Kuta Alam,Banda Aceh,cafe,20800,4.8,2,2,1,2
79,80,"HM Dimsum & Kebab, Lhong Raya - Banda Raya",Choco hazelnut Latte,"Jajanan, Cepat saji, Roti",Na,Na,Dimsum Ayam / isi 4,Banda Raya,Banda Aceh,cafe,20000,4.7,2,3,1,2
80,81,"Maroon Cake and Pastry, Lampriet","Jl. T.M. Daud Beureueh No. 153 (Wisma Lampriet), Kuta Alam, Banda Aceh","
Sweets, Roti, Barat",memang selalu sesuai harapan.. terima kasih maroon...,@marooncakeandpastry,Pain au Chocolate,Kuta Alam,Banda Aceh,cafe,25000,4.7,3,2,1,2
81,82,Haba Coffee,"Jl. Tgk Moh. Daud Beureuh, Lampriet, Kec. Kuta Alam, Kota Banda Aceh","Minuman, Roti, Kopi",da best... always ,@habacoffee,Haba Dark Latte,Kuta Alam,Banda Aceh,cafe,29000,4.6,3,2,1,2
